hsa:1	hsa:A1BG
hsa:100422843	hsa:MIR4293
hsa:100422844	hsa:MIR3118-3
hsa:100422845	hsa:MIR1233-2
hsa:100422846	hsa:MIR3164
hsa:100422847	hsa:MIR514B
hsa:100422848	hsa:MIR4283-2
hsa:100422849	hsa:MIR548T
hsa:100422850	hsa:MIR548V
hsa:100422851	hsa:MIR4316
hsa:100422852	hsa:MIR4259
hsa:100422853	hsa:MIR3182
hsa:100422854	hsa:MIR3187
hsa:100422855	hsa:MIR4301
hsa:100422856	hsa:MIR3123
hsa:100422857	hsa:MIR4318
hsa:100422858	hsa:MIR4285
hsa:100422859	hsa:MIR3136
hsa:100422860	hsa:MIR4292
hsa:100422861	hsa:MIR4306
hsa:100422862	hsa:MIR548S
hsa:100422863	hsa:MIR4265
hsa:100422864	hsa:MIR544B
hsa:100422865	hsa:MIR4320
hsa:100422866	hsa:MIR3115
hsa:100422867	hsa:MIR378C
hsa:100422868	hsa:MIR4270
hsa:100422869	hsa:MIR3152
hsa:100422870	hsa:MIR3180-1
hsa:100422871	hsa:MIR3117
hsa:100422872	hsa:MIR1244-3
hsa:100422873	hsa:MIR4297
hsa:100422874	hsa:MIR4279
hsa:100422875	hsa:MIR3192
hsa:100422876	hsa:MIR3148
hsa:100422877	hsa:MIR3202-2
hsa:100422878	hsa:MIR3168
hsa:100422879	hsa:MIR3124
hsa:100422880	hsa:MIR3162
hsa:100422881	hsa:MIR3170
hsa:100422882	hsa:MIR3120
hsa:100422883	hsa:MIR4325
hsa:100422884	hsa:MIR548U
hsa:100422885	hsa:MIR1244-2
hsa:100422886	hsa:MIR3179-2
hsa:100422887	hsa:MIR4280
hsa:100422888	hsa:MIR4264
hsa:100422889	hsa:MIR3194
hsa:100422891	hsa:MIR4327
hsa:100422892	hsa:MIR3157
hsa:100422893	hsa:MIR3154
hsa:100422894	hsa:MIR4260
hsa:100422895	hsa:MIR4294
hsa:100422896	hsa:MIR3140
hsa:100422897	hsa:MIR4302
hsa:100422898	hsa:MIR4255
hsa:100422899	hsa:MIR3190
hsa:100422900	hsa:MIR3158-1
hsa:100422901	hsa:MIR3135A
hsa:100422902	hsa:MIR3116-1
hsa:100422903	hsa:MIR4288
hsa:100422904	hsa:MIR3193
hsa:100422905	hsa:MIR4311
hsa:100422907	hsa:MIR3156-2
hsa:100422908	hsa:MIR3129
hsa:100422909	hsa:MIR4295
hsa:100422910	hsa:MIR2861
hsa:100422911	hsa:MIR500B
hsa:100422912	hsa:MIR3200
