hsa:1508;CTSB
hsa:1509;CTSD
hsa:1510;CTSE
hsa:1511;CTSG
hsa:1512;CTSH
hsa:1513;CTSK
hsa:1514;CTSL
hsa:1515;CTSV
hsa:1517;CTSLP2
hsa:1518;CTSLP8
hsa:1519;CTSO
hsa:1520;CTSS
hsa:1521;CTSW
hsa:1522;CTSZ
hsa:1523;CUX1
hsa:1524;CX3CR1
hsa:1525;CXADR
hsa:1527;TEX28
hsa:1528;CYB5A
hsa:1534;CYB561
hsa:1535;CYBA
hsa:1536;CYBB
hsa:1537;CYC1
hsa:1538;CYLC1
hsa:1539;CYLC2
hsa:1540;CYLD
hsa:1543;CYP1A1
hsa:1544;CYP1A2
hsa:1545;CYP1B1
hsa:1548;CYP2A6
hsa:1549;CYP2A7
hsa:1551;CYP3A7
hsa:1553;CYP2A13
hsa:1555;CYP2B6
hsa:1556;CYP2B7P
hsa:1557;CYP2C19
hsa:1558;CYP2C8
hsa:1559;CYP2C9
hsa:1562;CYP2C18
hsa:1564;CYP2D7
hsa:1565;CYP2D6
hsa:1571;CYP2E1
hsa:1572;CYP2F1
hsa:1573;CYP2J2
hsa:1576;CYP3A4
hsa:1577;CYP3A5
hsa:1579;CYP4A11
hsa:1580;CYP4B1
hsa:1581;CYP7A1
hsa:1582;CYP8B1
hsa:1583;CYP11A1
hsa:1584;CYP11B1
hsa:1585;CYP11B2
hsa:1586;CYP17A1
hsa:1587;ADAM3A
hsa:1588;CYP19A1
hsa:1589;CYP21A2
hsa:1590;CYP21A1P
hsa:1591;CYP24A1
hsa:1592;CYP26A1
hsa:1593;CYP27A1
hsa:1594;CYP27B1
hsa:1595;CYP51A1
hsa:1596;ADAM3B
hsa:1600;DAB1
hsa:1601;DAB2
hsa:1602;DACH1
hsa:1603;DAD1
hsa:1604;CD55
hsa:1605;DAG1
hsa:1606;DGKA
hsa:1607;DGKB
hsa:1608;DGKG
hsa:1609;DGKQ
hsa:1610;DAO
hsa:1611;DAP
hsa:1612;DAPK1
hsa:1613;DAPK3
hsa:1615;DARS1
hsa:1616;DAXX
hsa:1617;DAZ1
hsa:1618;DAZL
hsa:1620;BRINP1
hsa:1621;DBH
hsa:1622;DBI
hsa:1627;DBN1
hsa:1628;DBP
